DATE,IPUTIL
2013-04-01,102.3365
2013-05-01,100.1424
2013-06-01,99.0726
2013-07-01,98.9894
2013-08-01,98.7420
2013-09-01,100.0003
2013-10-01,101.4886
2013-11-01,102.6978
2013-12-01,105.1672
2014-01-01,106.2126
2014-02-01,105.2390
2014-03-01,104.7718
2014-04-01,101.8600
2014-05-01,101.6146
2014-06-01,99.9190
2014-07-01,97.7293
2014-08-01,98.5489
2014-09-01,100.6702
2014-10-01,101.3153
2014-11-01,104.3845
2014-12-01,101.2255
2015-01-01,102.3697
2015-02-01,107.6135
2015-03-01,104.4370
2015-04-01,101.5466
2015-05-01,100.3026
2015-06-01,101.1622
2015-07-01,100.5387
2015-08-01,100.8438
2015-09-01,101.8281
2015-10-01,100.4087
2015-11-01,97.7244
2015-12-01,95.6559
2016-01-01,99.7968
2016-02-01,99.5238
2016-03-01,95.4043
2016-04-01,101.4188
2016-05-01,99.8616
2016-06-01,102.8034
2016-07-01,102.9808
2016-08-01,105.0420
2016-09-01,102.5745
2016-10-01,99.6173
2016-11-01,97.0712
2016-12-01,103.0770
2017-01-01,97.8311
2017-02-01,92.9478
2017-03-01,99.7108
2017-04-01,99.6424
2017-05-01,100.7774
2017-06-01,100.9515
2017-07-01,101.5258
2017-08-01,99.7496
2017-09-01,99.2857
2017-10-01,101.4318
2017-11-01,101.2769
2017-12-01,104.8692
2018-01-01,107.6914
2018-02-01,100.6625
2018-03-01,103.3884
2018-04-01,107.8539
2018-05-01,104.4380
2018-06-01,104.5593
2018-07-01,103.8251
2018-08-01,104.7383
2018-09-01,104.3374
2018-10-01,106.0998
2018-11-01,107.4857
2018-12-01,103.3369
2019-01-01,104.4662
2019-02-01,105.1543
2019-03-01,106.0924
2019-04-01,102.9877
2019-05-01,104.2947
2019-06-01,101.0713
2019-07-01,104.3182
2019-08-01,103.2740
2019-09-01,105.0500
2019-10-01,103.9808
2019-11-01,104.9438
2019-12-01,102.5188
2020-01-01,99.0595
2020-02-01,102.0314
2020-03-01,98.5537
2020-04-01,100.4235
2020-05-01,98.5582
2020-06-01,100.9439
2020-07-01,105.1296
2020-08-01,102.5446
2020-09-01,100.7128
2020-10-01,101.4520
2020-11-01,97.6628
2020-12-01,104.5528
2021-01-01,101.7159
2021-02-01,108.2527
2021-03-01,99.9338
2021-04-01,102.1060
2021-05-01,101.5794
2021-06-01,105.8571
2021-07-01,103.5836
2021-08-01,105.2512
