DATE,PCEDG
2013-04-01,1182.3
2013-05-01,1187.1
2013-06-01,1186.9
2013-07-01,1190.8
2013-08-01,1187.7
2013-09-01,1188.3
2013-10-01,1191.4
2013-11-01,1201.7
2013-12-01,1190.4
2014-01-01,1173.9
2014-02-01,1204.7
2014-03-01,1231.9
2014-04-01,1230.3
2014-05-01,1238.6
2014-06-01,1249.4
2014-07-01,1248.4
2014-08-01,1258.6
2014-09-01,1259.8
2014-10-01,1263.7
2014-11-01,1272.8
2014-12-01,1272.7
2015-01-01,1273.3
2015-02-01,1276.7
2015-03-01,1301.4
2015-04-01,1307.8
2015-05-01,1311.3
2015-06-01,1309.8
2015-07-01,1316.5
2015-08-01,1322.5
2015-09-01,1316.6
2015-10-01,1308.8
2015-11-01,1323.0
2015-12-01,1323.7
2016-01-01,1320.2
2016-02-01,1342.7
2016-03-01,1323.3
2016-04-01,1329.1
2016-05-01,1330.7
2016-06-01,1347.9
2016-07-01,1354.5
2016-08-01,1351.6
2016-09-01,1358.0
2016-10-01,1362.6
2016-11-01,1344.7
2016-12-01,1377.0
2017-01-01,1370.3
2017-02-01,1374.9
2017-03-01,1364.3
2017-04-01,1373.9
2017-05-01,1371.6
2017-06-01,1385.3
2017-07-01,1394.3
2017-08-01,1386.0
2017-09-01,1417.6
2017-10-01,1428.3
2017-11-01,1447.8
2017-12-01,1464.6
2018-01-01,1448.6
2018-02-01,1456.4
2018-03-01,1453.5
2018-04-01,1461.6
2018-05-01,1475.3
2018-06-01,1469.0
2018-07-01,1478.2
2018-08-01,1483.4
2018-09-01,1475.1
2018-10-01,1481.4
2018-11-01,1503.6
2018-12-01,1462.2
2019-01-01,1463.9
2019-02-01,1460.9
2019-03-01,1486.7
2019-04-01,1481.9
2019-05-01,1501.5
2019-06-01,1510.9
2019-07-01,1523.2
2019-08-01,1521.8
2019-09-01,1538.3
2019-10-01,1526.8
2019-11-01,1547.8
2019-12-01,1563.0
2020-01-01,1553.0
2020-02-01,1561.6
2020-03-01,1371.5
2020-04-01,1200.9
2020-05-01,1557.2
2020-06-01,1701.5
2020-07-01,1780.1
2020-08-01,1791.7
2020-09-01,1817.8
2020-10-01,1826.1
2020-11-01,1803.1
2020-12-01,1797.2
2021-01-01,1934.2
2021-02-01,1877.3
2021-03-01,2161.3
2021-04-01,2149.8
2021-05-01,2103.7
2021-06-01,2086.9
2021-07-01,2034.1
2021-08-01,2027.6
