DATE,PCEND
2013-04-01,2504.3
2013-05-01,2517.7
2013-06-01,2519.6
2013-07-01,2538.0
2013-08-01,2538.4
2013-09-01,2547.8
2013-10-01,2552.3
2013-11-01,2563.5
2013-12-01,2576.6
2014-01-01,2567.7
2014-02-01,2598.1
2014-03-01,2592.2
2014-04-01,2620.7
2014-05-01,2617.4
2014-06-01,2632.5
2014-07-01,2642.0
2014-08-01,2651.6
2014-09-01,2633.1
2014-10-01,2645.1
2014-11-01,2635.1
2014-12-01,2615.0
2015-01-01,2566.4
2015-02-01,2583.3
2015-03-01,2602.6
2015-04-01,2595.0
2015-05-01,2624.4
2015-06-01,2633.8
2015-07-01,2652.2
2015-08-01,2646.6
2015-09-01,2627.0
2015-10-01,2611.5
2015-11-01,2623.1
2015-12-01,2618.8
2016-01-01,2604.0
2016-02-01,2604.7
2016-03-01,2608.5
2016-04-01,2631.7
2016-05-01,2642.8
2016-06-01,2671.8
2016-07-01,2645.7
2016-08-01,2651.6
2016-09-01,2663.6
2016-10-01,2669.5
2016-11-01,2668.6
2016-12-01,2697.3
2017-01-01,2717.9
2017-02-01,2722.3
2017-03-01,2737.1
2017-04-01,2743.7
2017-05-01,2723.4
2017-06-01,2738.6
2017-07-01,2728.4
2017-08-01,2753.3
2017-09-01,2806.0
2017-10-01,2788.4
2017-11-01,2821.4
2017-12-01,2853.0
2018-01-01,2847.1
2018-02-01,2853.3
2018-03-01,2853.8
2018-04-01,2859.7
2018-05-01,2896.3
2018-06-01,2876.4
2018-07-01,2889.5
2018-08-01,2891.9
2018-09-01,2901.1
2018-10-01,2927.2
2018-11-01,2947.6
2018-12-01,2870.1
2019-01-01,2897.6
2019-02-01,2897.5
2019-03-01,2941.0
2019-04-01,2960.9
2019-05-01,2963.3
2019-06-01,2965.7
2019-07-01,2990.2
2019-08-01,2987.0
2019-09-01,2965.1
2019-10-01,2986.8
2019-11-01,2987.7
2019-12-01,3012.7
2020-01-01,2993.2
2020-02-01,3004.3
2020-03-01,3113.1
2020-04-01,2663.9
2020-05-01,2877.7
2020-06-01,3031.6
2020-07-01,3091.9
2020-08-01,3068.4
2020-09-01,3141.0
2020-10-01,3114.3
2020-11-01,3095.4
2020-12-01,3085.2
2021-01-01,3213.3
2021-02-01,3176.5
2021-03-01,3433.3
2021-04-01,3403.1
2021-05-01,3390.6
2021-06-01,3455.6
2021-07-01,3446.9
2021-08-01,3480.3
